id	status	priority	kind	asm_file	start_ref	end_ref	target_file	depends_on	description	owner_lane
sf-runtime-defshape-alignment	done	P7	helper	reference/ultrastarfox/SF/INC/SHAPES2.ASM	def_shape runtime ids	shape audit	src/renderer/shapes.c,src/renderer/shapes.h	sf-runtime-shape-word-resolution	Unify active runtime shape ids with def_shape order where live slices still require proxies.	renderer
sf-renderer-boss7-shape-anim	done	P7	helper	reference/ultrastarfox/SF/SHAPES/SHAPES2.ASM	boss_7_0 frames	boss_7_4 frames	src/renderer/draw_list.c,src/renderer/shapes.c,src/renderer/shapes.h	sf-runtime-defshape-alignment	Port the bounded boss7 shape-frame animation subset used by live boss7 states.	renderer
sf-renderer-colanim-minimal	done	P8	helper	reference/ultrastarfox/SF/ASM/COLBOXES.ASM	colframe/color_table	generic exp-driven shape changes	src/renderer/draw_list.c,src/renderer/shapes.c,src/renderer/shapes.h,src/game/draw.c	sf-renderer-boss7-shape-anim	Port the broader generic colframe/color-table animation subset after the boss7 frame blocker is cleared.	renderer
sf-optional-gb3-boss7b2	blocked	P9	istrat	reference/ultrastarfox/SF/STRAT/GB3STRAT.ASM	boss7b2_init	boss7b2_strat	src/strat/strat_enemy.c	sf-istrat-gb3strat-boss7-core	Only port the hide-hatch loop if a later literal slice actually reaches it.	strat
sf-map-cl_ship	done	P5	map	reference/ultrastarfox/SF/MAPS/CL_SHIP.ASM	cl_ship	maprts	src/map/levels.c	sf-istrat-gcstrats-clear-earth-chase	Port the shared ClearShip demo helper.	map
sf-map-cl_under	done	P5	map	reference/ultrastarfox/SF/MAPS/CL_UNDER.ASM	cl_under	maprts	src/map/levels.c	sf-istrat-gcstrats-clear-earth-chase	Port the shared ClearUnder demo helper.	map
sf-map-cl_dive	done	P5	map	reference/ultrastarfox/SF/MAPS/CL_DIVE.ASM	cl_dive	maprts	src/map/levels.c	sf-istrat-gcstrats-clear-earth-chase	Port the shared ClearDive demo helper.	map
sf-map-cl_bridg	done	P5	map	reference/ultrastarfox/SF/MAPS/CL_BRIDG.ASM	cl_bridge	maprts	src/map/levels.c	sf-istrat-gcstrats-clear-earth-chase	Port the shared ClearBridge demo helper.	map
sf-map-cl_turn	done	P5	map	reference/ultrastarfox/SF/MAPS/CL_TURN.ASM	cl_turn	maprts	src/map/levels.c	sf-istrat-gcstrats-clear-earth-chase	Port the shared ClearTurn demo helper.	map
sf-map-cl_warpo	done	P5	map	reference/ultrastarfox/SF/MAPS/CL_WARPO.ASM	cl_warpout	maprts	src/map/levels.c	sf-istrat-gcstrats-clear-earth-chase	Port the shared ClearWarpOut demo helper.	map
sf-map-cl_colon	done	P5	map	reference/ultrastarfox/SF/MAPS/CL_COLON.ASM	cl_colon	maprts	src/map/levels.c	sf-istrat-pcstrats-clearbridge	Port the shared ClearColony pipe demo helper.	map
sf-map-level2_3	done	P5	map	reference/ultrastarfox/SF/MAPS/LEVEL2_3.ASM	level2_3	mapend	src/map/levels.c	sf-map-map2_3c,sf-map-cl_bridg	Port the LEVEL2_3 wrapper around MAP2_3A/C/B and cl_bridge.	map
sf-map-level2_4	done	P5	map	reference/ultrastarfox/SF/MAPS/LEVEL2_4.ASM	level2_4	mapend	src/map/levels.c	sf-map-map2_4,sf-map-cl_turn	Port the LEVEL2_4 wrapper around MAP2_4 and cl_turn.	map
sf-map-level2_5	done	P5	map	reference/ultrastarfox/SF/MAPS/LEVEL2_5.ASM	level2_5	mapend	src/map/levels.c	sf-map-map2_5,sf-map-cl_dive	Port the LEVEL2_5 wrapper around MAP2_5 and cl_dive.	map
sf-map-level3_3	done	P5	map	reference/ultrastarfox/SF/MAPS/LEVEL3_3.ASM	level3_3	mapend	src/map/levels.c	sf-map-map3_3b	Port the LEVEL3_3 wrapper around MAP3_3A and cl_ground.	map
sf-map-level3_4	done	P5	map	reference/ultrastarfox/SF/MAPS/LEVEL3_4.ASM	level3_4	mapend	src/map/levels.c	sf-map-map3_4_t,sf-map-cl_ship,sf-map-washmap	Port the LEVEL3_4 wrapper including washmap and cl_ship.	map
sf-map-level3_5	done	P5	map	reference/ultrastarfox/SF/MAPS/LEVEL3_5.ASM	level3_5	mapend	src/map/levels.c	sf-map-map3_5,sf-map-cl_under	Port the LEVEL3_5 wrapper around MAP3_5 and cl_under.	map
sf-map-level3_6	done	P5	map	reference/ultrastarfox/SF/MAPS/LEVEL3_6.ASM	level3_6	mapend	src/map/levels.c	sf-map-map3_6,sf-map-cl_dive	Port the LEVEL3_6 wrapper around MAP3_6 and cl_dive.	map
sf-map-level3_7	done	P5	map	reference/ultrastarfox/SF/MAPS/LEVEL3_7.ASM	level3_7	mapend	src/map/levels.c	sf-map-map3_7c	Port the LEVEL3_7 final level wrapper.	map
sf-map-level_bh	done	P6	map	reference/ultrastarfox/SF/MAPS/LEVEL_BH.ASM	level_bh	mapend	src/map/levels.c	sf-map-bhole	Port the Black Hole level wrapper.	map
sf-map-level_s	done	P6	map	reference/ultrastarfox/SF/MAPS/LEVEL_S.ASM	level_s	mapend	src/map/levels.c	sf-map-special	Port the Special level wrapper.	map
sf-istrat-ga3strat-spacepilon	done	P5	istrat	reference/ultrastarfox/SF/STRAT/GA3STRAT.ASM	spacepilon_Istrat	spacepilon_strat	src/strat/strat_enemy.c	sf-istrat-table-audit	Port spacepilon enemy strategies from GA3STRAT.	strat
sf-istrat-gb2strat-bossF	done	P5	istrat	reference/ultrastarfox/SF/STRAT/GB2STRAT.ASM	bossF_Istrat	bossF_strat	src/strat/strat_enemy.c	sf-istrat-table-audit	Port bossF multi-part boss strategies from GB2STRAT.	strat
sf-istrat-pcstrats-clearbridge	done	P5	istrat	reference/ultrastarfox/SF/STRAT/PCSTRATS.ASM	playerclearbridge_Istrat	playerEscapeNucleus_strat	src/strat/strat_player.c	sf-istrat-table-audit	Port player clear-demo bridge/escape strategies.	strat
sf-istrat-pistrats-opening	done	P5	istrat	reference/ultrastarfox/SF/STRAT/PISTRATS.ASM	playeropening_Istrat	playerpening_strat	src/strat/strat_player.c	sf-istrat-table-audit	Port player opening sequence strategies.	strat
sf-istrat-expstrat-explosions	done	P5	istrat	reference/ultrastarfox/SF/STRAT/EXPSTRAT.ASM	Bossdelayexplode_Istrat	bossexplode_strat	src/strat/strat_enemy.c	sf-istrat-table-audit	Port boss explosion strategies from EXPSTRAT.	strat
sf-path-kpathdat-endings	done	P6	path	reference/ultrastarfox/SF/PATH/KPATHDAT.ASM	gameover	stage7	src/path/path_literals.c	-	Port ending/transition camera paths from KPATHDAT.	path
sf-map-bhole	done	P6	map	reference/ultrastarfox/SF/MAPS/BHOLE.ASM	blackholemap	EOF	src/map/levels.c	-	Port the Black Hole arena map.	map
sf-map-special	done	P6	map	reference/ultrastarfox/SF/MAPS/SPECIAL.ASM	specialmap	EOF	src/map/levels.c	-	Port the Out of This Dimension map.	map
sf-map-mothers	done	P6	map	reference/ultrastarfox/SF/MAPS/MOTHERS.ASM	mothermap1	EOF	src/map/levels.c	-	Port the mother ship spawning patterns.	map
sf-map-finalmap	done	P6	map	reference/ultrastarfox/SF/MAPS/FINALMAP.ASM	finalmap	EOF	src/map/levels.c	-	Port the Andross final map.	map
sf-map-webmonst	done	P5	map	reference/ultrastarfox/SF/MAPS/WEBMONST.ASM	webmonst	EOF	src/map/levels.c	-	Port the web monster boss map.	map
sf-map-trucker	done	P5	map	reference/ultrastarfox/SF/MAPS/TRUCKER.ASM	trucker	EOF	src/map/levels.c	-	Port the mad trucker boss map.	map
sf-map-washent	done	P5	map	reference/ultrastarfox/SF/MAPS/WASHENT.ASM	washent	EOF	src/map/levels.c	sf-map-level1_3-tail	Port the wash entry cutscene map.	map
sf-map-washmap	done	P5	map	reference/ultrastarfox/SF/MAPS/WASHMAP.ASM	washmap	EOF	src/map/levels.c	sf-map-washent	Port the wash boss map.	map
sf-map-airlock1	done	P5	map	reference/ultrastarfox/SF/MAPS/AIRLOCK1.ASM	airlock1	EOF	src/map/levels.c	-	Port the airlock map.	map
sf-map-intro	done	P7	map	reference/ultrastarfox/SF/MAPS/INTRO.ASM	intro	EOF	src/map/levels.c	sf-istrat-pistrats-opening	Port the intro sequence map.	map
sf-map-title	done	P7	map	reference/ultrastarfox/SF/MAPS/TITLE.ASM	title	EOF	src/map/levels.c	-	Port the title screen map.	map
sf-map-planet	done	P7	map	reference/ultrastarfox/SF/MAPS/PLANET.ASM	planet	EOF	src/map/levels.c	-	Port the planet selection map.	map
sf-map-credits	done	P7	map	reference/ultrastarfox/SF/MAPS/CREDITS.ASM	credits	EOF	src/map/levels.c	sf-path-kpathdat-endings	Port the credits sequence map.	map
sf-map-training	done	P7	map	reference/ultrastarfox/SF/MAPS/TRAINING.ASM	training	EOF	src/map/levels.c	-	Port the training mode map.	map
sf-core-mother	done	P6	helper	reference/ultrastarfox/SF/ASM/MOTHER.ASM	bemother_l	EOF	src/game/world.c	-	Port mother ship spawning routines.	map
sf-core-cont	done	P7	helper	reference/ultrastarfox/SF/ASM/CONT.ASM	briefing_l	EOF	src/game/boot.c	-	Port the controller/briefing screen.	map
sf-core-continue	done	P7	helper	reference/ultrastarfox/SF/ASM/CONTINUE.ASM	foxy_continue_l	EOF	src/game/boot.c	-	Port the continue/credit screen.	map
sf-core-endseq	done	P7	helper	reference/ultrastarfox/SF/ASM/ENDSEQ.ASM	endseq	EOF	src/game/boot.c	-	Port the ending sequence.	map
sf-core-light	done	P6	helper	reference/ultrastarfox/SF/ASM/LIGHT.ASM	shades0_0	EOF	src/renderer/renderer.c	-	Port lighting/palette shade tables.	renderer
