SLIMECOUNT	$0000162b
WALLL_ISTRAT	$0009916d
WALKING2_STRAT	$00098c37
WALKING_FALL	$00098fbd
WALL1_STRAT	$000991a7
WALKING_LEFT	$00098e3f
WALKING_ISTRAT	$00098bc2
WALL2_STRAT	$0009912f
WALLLEFT_I	$0009922d
WALLLEFT_STRAT	$00099247
WALLNOTHIT	$00099206
WALLIN	$0009917d
WALLR_ISTRAT	$00099176
WALKING_HIT	$00098c72
WALKING_RIGHT	$00098cbd
WALKING_STRAT	$00098c15
WALLRIGHT_I	$00099259
WALLLR_I	$00099220
WALLLEFTRIGHT_ISTRAT	$00099104
WALLRND_ISTRAT	$00099161
WALLCHK	$000991f8
WALLRIGHT_STRAT	$00099273
WALKER2_ISTRAT	$000ad6ff
WALKER2_STRAT	$000ad722
WALKER_R_EBSP	$000c82b2
WALK_4_L_F1	$000fd245
WALL1_S1_F	$000c8d46
WALK_4_R_F1	$000fd55f
WALL1_S1_P	$000c8d1e
WALL1_S1_F1	$000c8d4e
WALL1	$000c8000
WALL2	$000c8000
WALKER_2_F10	$0011aa53
WALKER_0_F	$000c8691
WALKER_2_F	$0011a947
WALKER_0_P	$000c82b3
WALKER_2_P	$0011a653
WALKER_L_F	$000c8039
WALKER_L_P	$000c8000
WALKER_R_F	$000c8183
WALKER_R_P	$000c814d
WALL_0	$00108000
WALL_1	$00108000
WALL_2	$00108000
WALL_3	$00108000
WALL_4	$00108000
WALL_5	$00108000
WALL_6	$00108000
WALL_7	$00108000
WALL_L	$000c8000
WALL_R	$000c8000
WALK_4_0_F	$000fcdd2
WALKER_R_F10	$000c825d
WALKER_R_F11	$000c828c
WALK_4_0_P	$000fcda5
WALKER_0_EBSP	$000c878a
WALK_4_L_F	$000fd22b
WALK_4_L_P	$000fcf86
WALKER_2_EBSP	$0011aa94
WALK_4_R_F	$000fd545
WALK_4_R_P	$000fd2a0
WALKER_0_F1	$000c86da
WALKER_0_F3	$000c86e5
WALKER_0_F5	$000c86f0
WALKER_0_F6	$000c873e
WALKER_0_F7	$000c8764
WALKER_2_F1	$0011a99e
WALKER_2_F3	$0011a9a9
WALKER_2_F5	$0011a9b5
WALKER_2_F7	$0011a9c2
WALKER_2_F8	$0011aa1b
WALKER_2_F9	$0011aa41
WALKER_L_F1	$000c8077
WALL_0_F1	$0010a84d
WALL_1_F1	$0010a8a8
WALKER_R_F1	$000c81e1
WALL_2_F1	$0010a90f
WALKER_R_F3	$000c81ec
WALKER_R_F5	$000c81f7
WALKER_R_F7	$000c8202
WALKER_R_F8	$000c8252
WALL1_F1	$000c8da9
WALL_3_F1	$0010a99e
WALL_4_F1	$0010aa2d
WALL_5_F1	$0010aabc
WALL_6_F1	$0010ab4b
WALL1_S1	$000c8000
WALL_7_F1	$0010abda
WALKER_0	$000c8000
WALKER_2	$00118000
WALKER_L	$000c8000
WALKER_R	$000c8000
WALK_4_0	$000f8000
WALL_0_F	$0010a83c
WALL_1_F	$0010a897
WALK_4_L	$000f8000
WALL_2_F	$0010a8f2
WALL_0_P	$0010a827
WALL1_F	$000c8d92
WALK_4_R	$000f8000
WALL_3_F	$0010a981
WALL_1_P	$0010a882
WALL_4_F	$0010aa10
WALL_2_P	$0010a8dd
WALL_5_F	$0010aa9f
WALL1_P	$000c8d64
WALL_3_P	$0010a96c
WALL_6_F	$0010ab2e
WALK_4_0_EBSP	$000fcf85
WALL_4_P	$0010a9fb
WALL_7_F	$0010abbd
WALL_5_P	$0010aa8a
WALL_6_P	$0010ab19
WALL_7_P	$0010aba8
WALK_4_0_F1	$000fce43
WALK_4_0_F3	$000fce4f
WALK_4_0_F4	$000fcf12
MZSORTLOOP1	$00018c69
MZSORTINIT	$00018c31
MZSORTLOOP	$00018c5f
MZSORTINITLOOP	$00018c4a
BG4SC	$0000210a
BG4HOFS	$00002113
BG4VOFS	$00002114
BGTMPAC	$007f0760
TANK_1	$0000cf67
TANK_2	$0000c76b
ATNUKED	$00000010
BGTM2PAC	$007f0840
BGTM3PAC	$007f0920
BGTM4PAC	$007f0a00
BGTRANSSPEED	$00001766
TANK2AP	$00000020
TANK2HP	$00000028
ENDSEQ_L	$001fe1e5
ENDTRANS	$001fe355
ENDSEQBIT1	$007e3a70
ENDSEQBIT0	$007e3a61
ENDSEQBIT2	$007e3abf
ENDSEQBIT3	$007e3b1e
ENDSEQBOSS	$001ff160
ENDPLANETPOS	$0003c807
ENDTRANS_L	$001fe351
END_ENDSEQ	$001fe34b
END_LEVEL_SEQ	$0002e812
END_GAME_SEQ	$0002e161
ENDCCOLL	$007e5802
END_ENDSEQ2	$001fe34f
ENDIN	$0004ec36
ENDOFF	$00000001
ENDOFSPECIALMAP	$000deaf9
ENDGAMEOVERINIT	$0021bd00
ENDSPARKY_STRAT	$00218df1
ENDMISSPOD	$0008e662
TANK2ZACO_STRAT	$000ac9b9
TANK1FIRE	$000a8c66
TANK1A_STRAT	$000a89ca
TANK1_STRAT.FORWARD	$000a8b2e
TANK1A_ISTRAT	$000a896e
TANK1A2_ISTRAT	$000a89ab
TANK0_ISTRAT	$000a8a80
TANK1AP	$00000010
TANK1HP	$00000002
TANK1LR	$000a8c34
TANK1_ISTRAT	$000a8ad0
TANK2_ISTRAT	$000ac68f
TANK3_ISTRAT	$000a8cf8
TANK2ZACO_ISTRAT	$000ac98f
TANK1FIRERATE	$00000032
TANK1_STRAT	$000a8aef
TANK2_STRAT	$000ac806
TANK_1_F1	$000cee43
TANK_1_F3	$000cee4f
TANK_1_F5	$000cee5a
TANK_1_F6	$000ceeaa
TANK_1_F7	$000ceec9
TANK_2_F1	$001192cc
TANK_1	$000cec42
TANK_2_F3	$001192d8
TANK_2	$00118000
TANK_2_F4	$00119358
TANK_2_F6	$00119364
TANK_2_F7	$001193a9
TANK_1_F	$000cee06
TANK_2_F	$0011926e
TANK_1_EBSP	$000ceedb
TANK_1_P	$000cedd2
TANK_2_P	$00119232
TANK_2_EBSP	$001193d0
BGTI3CCR	$00179984
BGTI3PCR	$00179ae0
BGTFSPCR	$0016a8fc
BGTSPCCR	$0017864c
BGTSTCCR	$00178438
BGTSPPCR	$0016ef40
BGTSSPCR	$0015ec78
BGTSTPCR	$0016faac
CESTIME	$0000000f
CESTIMERON	$00000000
ESCAPEE	$00009acc
SCENNUM	$000012b1
ESCAPEE_C	$0003854e
ESCAPEEEXPLODE2_ISTRAT	$0006b47a
ESCAPEE_ISTRAT	$0006b4cb
ESCAPEEEXPLODE_ISTRAT	$0006b488
SECTOR_YLEN	$0000074a
ESCAPEE	$0011edb4
SECTOR_Y	$0010f6f5
SECTOR_X_ZLEN	$00000598
SECTOR_X_Z	$001eebac
M6	$00000062
VMAP1	$00000046
VMAP2	$00000048
VMADDH	$00002117
VMADDL	$00002116
VMAINC	$00002115
MVAL_ROTPOINTS8	$00000004
MVAL_S_SPRITE	$00000050
MVAL_ROTPOINTS16	$00000008
MVAL_LINES	$00000018
MVAL_ROTPOINTSX8	$00000038
MVAL_BSPEND	$00000040
MVAL_FRAMES	$0000001c
MVAL_ROTPOINTSX16	$00000034
MVAL_VIZIS	$00000030
MVAL_GROUPS	$00000010
MVAL_BSPINIT	$0000003c
MVAL_ENDSHAPE	$00000000
MVAL_BSPE	$00000044
MVAL_JUMP	$00000020
MVAL_S_SPRITEVIS	$00000054
MVAL_QUIT	$00000048
MVAL_VNORMALS	$0000004c
MVAL_SPHERES	$00000024
MVAL_BSP	$00000028
MVAL_OUTWORD	$0000002c
MVAL_ENDPOINTS	$0000000c
MVAL_FACES	$00000014
ALX_STRATMEM	$007e1cf8
ALX_DEPTHOFFSET	$007e1cdd
LFDIE	$00009b04
PR	$00000082
ALX_SND1	$007e1ce6
ALX_SND2	$007e1ce7
HIDEHUDONBOSSDEATH	$00000001
ALX_SIZE	$007e1cfe
LBLACKFACE	$0000aa1b
ALX_COLLSTRATPTR	$007e1cd1
ALX_ENDCOLLSTRATPTR	$007e1cd4
ALX_CHILDROTX	$007e1ced
ALX_CHILDROTY	$007e1cee
ALX_CHILDROTZ	$007e1cef
ALX_RELPOSX	$007e1cdf
ALX_RELPOSY	$007e1ce0
ALX_RELPOSZ	$007e1ce1
ALX_TX	$007e1cf2
ALX_TY	$007e1cf3
PARAAP	$00000004
PARAHP	$00000002
PARASWINGMAX	$0000000f
PARA_0	$00009ce0
PARA_1	$00009d01
PARASWINGSPD	$00000005
ALX_START	$007e1cc8
ALX_ANIMFRAME	$007e1ce5
ALX_SWPX1	$007e1cc8
ALX_SWPY1	$007e1cca
ALX_SWPZ1	$007e1ccc
ALX_DEBRISSHAPE	$007e1ce2
ALX_CHILDX	$007e1cea
ALX_CHILDY	$007e1ceb
ALX_CHILDZ	$007e1cec
PBITTABN	$0000859a
PARA_1_S	$00009cfc
ALX_STRATSTATE	$007e1cda
ALX_COLTAB	$007e1ce8
HIDERAP	$00000006
HIDERHP	$00000002
ALX_MEMPTR	$007e1cf4
ALX_PBYTE1	$007e1cfa
ALX_PBYTE2	$007e1cfb
PBITTAB	$0000859a
ALX_PWORD1	$007e1cfc
ALX_EXPSTRATPTR	$007e1cce
RDDIVHR	$00004215
RDDIVLR	$00004214
ALX_FIREOBJPTR	$007e1cdb
ALX_STACKPTR	$007e1cf6
ALX_COLFRAME	$007e1ce4
XALBLKS	$007e2000
ALX_TEMPSTRATPTR	$007e1cd7
ALX_CHILDROTOBJ	$007e1cf0
PART_UNIQUE	$0000000c
PART_LIFE	$00000000
PARTF_LINE	$00000004
PART_POSX	$00000006
PART_POSY	$00000008
PART_POSZ	$0000000a
PARTF_GRAVITY	$00000002
PART_FLAGS	$00000001
PARTF_FRICTION	$00000008
PART_LEN	$0000000e
PARTF_OBJALIVE	$00000001
PART_VX	$00000003
PART_VY	$00000004
PART_VZ	$00000005
PART_COLOUR	$00000002
PARTF_FADEOUT	$00000010
LFDIE_A1	$00038772
PARALLEL_STUFF	$007e4fb4
LFDIE_C	$00038554
PARA_STRAT	$0004f6aa
PBIRD_METEOR	$0004a596
PARA2_ISTRAT	$0004f705
PARAJUMP_STRAT	$0004f851
PARAJUMP_I	$0004f844
PARA2_STRAT	$0004f733
PARA_ISTRAT	$0004f687
PARTICLEEXPLODE_STRAT	$0006bb15
PARTICLEFIRE_STRAT	$0006bc9e
PARTICLEFIRE_ISTRAT	$0006bc68
PARTICLEPOLLEN_STRAT	$0006bd27
PARTICLEFIREDOWN_ISTRAT	$0006bc9f
PARTICLEPOLLEN_ISTRAT	$0006bcf1
PARTICLEEXPLODE_ISTRAT	$0006badf
PARTICLEFIRE_ICONT	$0006bc80
LFDIE	$0011edb4
LBLACKFACE	$000e8000
PARA_0	$000c8000
PARA_1	$000c8000
PARA_0_F	$000c8a31
PARA_1_F	$000c8b5a
PARA_0_P	$000c8a0e
PARA_1_P	$000c8b43
PARA_1_S	$000c8000
PARA_0_EBSP	$000c8af4
LFDIE_F	$0011f02d
LFDIE_P	$0011f037
PARA_1_EBSP	$000c8bce
PARA_1_S_F1	$000c8b1a
PARA_1_S_F3	$000c8b26
PARA_1_S_F4	$000c8b38
PARA_1_S_EBSP	$000c8b42
PARA_0_F10	$000c8ad9
LBLACKFACE_F	$000e99d7
LBLACKFACE_P	$000e99a4
PARA_1_S_F	$000c8b09
PARA_1_S_P	$000c8af5
PARA_0_F1	$000c8a6a
PARA_0_F3	$000c8a75
PARA_0_F5	$000c8a80
PARA_0_F6	$000c8a94
PARA_0_F8	$000c8a9f
PARA_0_F9	$000c8acf
PARA_1_F1	$000c8b7a
PARA_1_F3	$000c8b85
PARA_1_F4	$000c8bbc
PARTFADETAB	$0014bcbc
PARTICLE_CIRCLE	$0014bcdc
TIMEUNTILFADE	$000015e7
TIME1	$0000193c
TIME2	$0000193f
TIMEUPR	$00004211
ZEROSPR	$0003d3e1
TIMEOVERCONT	$000df895
KICHI_0	$0000b383
KICHI_1	$0000b39f
KICHI_2	$0000b3bb
KICHI_3	$0000b3d7
KICHI_4	$0000b40f
KICHI2_ISTRAT	$0004f9e0
KICHI_0_F	$000f9e96
KICHI_1_F	$000fa18d
KICHI_2_F	$000fa2f4
KICHI_0_P	$000f9e46
KICHI_3_F	$000fa34f
KICHI_1_P	$000fa13d
KICHI_4_F	$000fab01
KICHI_2_P	$000fa2dc
KICHI_3_P	$000fa33a
KICHI_4_P	$000fa85b
KICHI_0_F11	$000f9fcb
KICHI_0_F13	$000f9fd6
KICHI_0_F20	$000fa05c
KICHI_0_F15	$000f9fe1
KICHI_0_F22	$000fa067
KICHI_0_F30	$000fa0cd
KICHI_0_F31	$000fa0fc
KICHI_0_F16	$000f9ff5
KICHI_0_F17	$000fa008
KICHI_0_F24	$000fa072
KICHI_0_F25	$000fa0a1
KICHI_0_F19	$000fa013
KICHI_0_F27	$000fa0ac
KICHI_0_F28	$000fa0c1
KICHI_4_F10	$000fabe2
KICHI_4_F11	$000fac2c
KICHI_4_F13	$000fac38
KICHI_4_F14	$000fac44
KICHI_0	$000f8000
KICHI_1	$000f8000
KICHI_2	$000f8000
KICHI_3	$000f8000
KICHI_4	$000f8000
KICHI_0_F1	$000f9f69
KICHI_0_F3	$000f9f74
KICHI_0_F4	$000f9f8f
KICHI_0_F6	$000f9f9a
KICHI_0_F7	$000f9fb5
KICHI_0_F9	$000f9fc0
KICHI_1_F1	$000fa1e4
KICHI_1_F3	$000fa1f0
KICHI_1_F5	$000fa1fb
KICHI_1_F7	$000fa207
KICHI_1_F9	$000fa212
KICHI_2_F1	$000fa305
KICHI_3_F1	$000fa369
KICHI_4_F1	$000fab70
KICHI_4_F3	$000fab7c
KICHI_4_F4	$000fabba
KICHI_4_F6	$000fabc6
KICHI_4_F8	$000fabd6
KICHI_0_EBSP	$000fa13c
KICHI_1_EBSP	$000fa2db
KICHI_4_EBSP	$000fac6e
M7	$00000063
WM	$0000ffff
M7A	$0000211b
WMADDH	$00002183
WMAT11	$000016a1
WMADDL	$00002181
WMADDM	$00002182
WMAT12	$000016a3
WMAT13	$000016a5
WMAT21	$000016a7
WMAT22	$000016a9
WMAT23	$000016ab
WMAT31	$000016ad
WMAT32	$000016af
WMAT33	$000016b1
WMAT11W	$000016a0
WMAT12W	$000016a2
WMAT13W	$000016a4
WMAT21W	$000016a6
WMAT22W	$000016a8
WMAT23W	$000016aa
WMAT31W	$000016ac
WMAT32W	$000016ae
WMAT33W	$000016b0
WMATROTP16_L	$0003ae62
OBJSEL	$00002101
OBJ2PAC	$007f0580
OBJX	$000019f8
OBJY	$000019fa
OBJZ	$000019fc
DOELASERSPEED	$0021b53e
OBJ2CCR	$001fb985
SPACE_GAMEFLAGSON	$00000020
SPACEPILON	$0000c557
SPARE	$000019e6
M_PBR	$00003034
SPACE_GAMEFLAGSOFF	$00000000
SPACE_MODE	$00000001
SPACE_MAXX	$000000f0
SPACE_MAXY	$00000050
SPACE_MINX	$ffffff10
SPACE_MINY	$ffffff42
SPACE_VIEWCY	$ffffffc4
SPACE_FLYMODE	$00000012
BSHIPEXITFACE	$0000a9ff
SPACE_MMAXX	$000000f0
SPACE_MMAXY	$00002710
SPACE_MMINX	$ffffff10
SPACESCZ	$00001725
SPACE_MISSBOUNDFLAGS	$00000000
SPARKLAS	$0000ae5f
SPANISH	$00000000
SPACE_PMOVELIMITAND	$00000000
M_PROJPNTS	$00700b82
M_PLAYER	$00700188
M_PARTICLESON	$00702496
M_PFM	$00700174
M_PNTPTR	$00700016
M_PXX	$00700142
M_PXY	$00700144
M_PXZ	$00700146
M_PZX	$00700148
M_PZY	$0070014a
M_PZZ	$0070014c
M_PARTICLES	$0070249a
M_PARTICLERAND	$007001d2
M_POLYBUF	$0070115e
M_PLANETSTARS	$00702494
SPACEWID	$00000005
SPACEMISTRED_A1	$000388e8
SPACEMISTLGREY_A1	$000388f9
ASPR	$0003d3e9
SPARKLAS_COL2	$007e6c2a
SPACEMISTWHITE_A1	$000388d7
SPACESPR	$0003d38d
SPARKLAS_COL	$007e6c18
SPARK_A1	$00038825
SPARK_C	$00038532
PSAKA_SHOT	$0004c195
P_MSG	$00000031
PM__METER	$00048000
PASTEMSG	$0004c1f2
PSAKA_HOU	$0004c1a1
P_MSG2	$00000032
P_MSGWITHMETER	$00000089
SPARKY_ISTRAT	$00218d8e
SPARKY_STRAT	$00218de5
SPACETEST_ISTRAT	$00089e02
SPACEPILONP_STRAT	$0009fce4
SPACEPILON_ISTRAT	$0009f95f
SPACEPILONEXP_ISTRAT	$0009fc9e
SPACEPILONCOL_ISTRAT	$0009fc36
SPACEPILONP_ISTRAT	$0009fcc0
SPACEPILON_STRAT	$0009fb34
SPACEBAR3_ISTRAT	$000ad181
SPACEBARSHOOT_ISTRAT	$000ad55f
SPACEBAR_STRAT	$000acf4e
SPACEBARWALKER_STRAT	$000ad4e7
SPACEBAR1_STRAT	$000acff8
SPACEBAR2_STRAT	$000ad03e
SPACEBAR3_STRAT	$000ad1de
SPACEBAR_ISTRAT	$000acf2f
SPACEBARSHOOT_STRAT	$000ad598
SPACEBARWALKER_ISTRAT	$000ad4c8
SPACEBAR1_ISTRAT	$000acfcb
SPACEBAR2_ISTRAT	$000ad025
SPACEPILON	$00108000
SPARKLAS_F1	$000eca03
BSHIPEXITFACE_F	$000e9992
BSHIPEXITFACE_P	$000e9983
BSHIPEXITFACE	$000e8000
SPARKLAS_F	$000ec9fe
SPARKLAS_P	$000ec936
SPARKLAS	$000e8000
SPACE_ARMADA	$001eda03
SPACE_ARMADALEN	$000006b3
S_DOOR_1	$0000c27f
S_DOOR_3	$0000c29b
S_DOOR_2	$0000c2b7
S_DOOR	$0000c263
VANISHX	$000000bd
VANISHY	$000000bf
S_DOOR_1	$00108000
S_DOOR_3	$00108000
S_DOOR_2	$00108000
S_DOOR_F	$0010ce50
S_DOOR_P	$0010cc5e
S_DOOR	$00108000
S_DOOR_1_F1	$0010d311
S_DOOR_2_F1	$0010d848
S_DOOR_1_F	$0010d2d9
S_DOOR_2_F	$0010d810
S_DOOR_1_P	$0010cf43
S_DOOR_2_P	$0010d3ca
S_DOOR_F1	$0010ce88
ALZONEOF	$000012b5
M8	$00000064
MAXDEPTHDIST	$00000e00
MAXWPS	$00000001
MAXCOLSCRU	$00000100
MBLACKFACE	$0000aa37
MAXSTATE	$000015cf
MAXPROJ	$00000078
MAXTURN	$000012de
MAXMMOVEX	$000015ff
MAXMMOVEY	$00001609
MAXPMOVEX	$000015fb
MAXPMOVEY	$00001603
MAXPSPEED	$00000055
MAXPWMOVEY	$00001607
MCHKPOLY	$00018e38
MCHITFLASH_STRAT	$00218a61
MBLACKFACE	$000e8000
MBLACKFACE_P	$000e9a07
MAXZTAB	$00003000
EIGHTSPR	$0003d3d1
DEPTHTABTAB	$00008b5a
DEPTHTABPTR	$000012e9
TPA	$00001550
PATHX1	$000017dc
PATHY1	$000017de
PATHX2	$000017e2
PATHX3	$000017e8
PATHZ1	$000017e0
PATHY2	$000017e4
PATHY3	$000017ea
PATHZ2	$000017e6
PATHZ3	$000017ec
PATHLINK	$000017ee
PATROLAP	$00000004
PATROLHP	$00000004
PATHPTR	$0000f13b
DEPTHTABLES	$00038f7a
PATH_1	$00000000
PATH_2	$00000002
PATH_3	$00000004
PATH_4	$00000006
DEPTHTABS	$00038b6a
PATH_DSMOKE2	$00003b57
PATH_DSMOKE3	$00003b59
PATH_FROG1_1	$0000341f
PATH_KASTMSG	$00001e3b
PATH_BIRD_METEOR	$00000176
PATH_MATEMSG	$00001dbd
PATH_EGU1	$00000c86
PATH_EGU3	$00000cfb
PATH_EGU4	$00000dc9
PATH_EGU5	$00000e67
PATH_EGU6	$00000ef5
PATH_COIN	$000041fc
PATH_AVEN	$00004888
PATH_TMP_TANK	$00000742
PATH_KANI_SHOT	$00001d6e
PATHT_ISTRAT	$0004800a
PATH_AT_HBEAM	$00000718
PATH_KASTMSG2	$00001e5b
PATH_SLOTMACHINE	$00003b92
PATH_DSTARFOX	$000045fd
PATH_KANI_WITHHOU	$00001aa9
PATH_SLOTARMWAIT	$00004153
PATH_FALCON3_1	$000033f9
PATH_PAPER_1	$00003a47
PATH_PAPER_3	$000039ab
PATH_E_SHIELDR	$00001334
PATH_RING	$0000434f
PATH_E_SHAWERL	$00001f23
PATH_E_SHAWERR	$00001f2c
PATH_ITACHI_A	$0000035f
PATH_CHECK	$000006d6
PATH_ITACHI_B	$0000034c
PATHS	$0004a420
PATH_R_CLISLA	$0000194d
PATH_ROBOTWITHLOG	$00004353
PATH_METEOR_TADPOLE	$000045b9
PATH_DPRESENTED	$00004645
PATH_E_DOSUN	$000012d8
PATH_ITADOSUN	$00001306
PATH_E_KURURI2	$000012d1
PATH_IKA_2	$00001783
PATH_TRN_RING	$00000062
PAT_HBEAM	$0004ab38
PATH_FALCO_LV1	$00003611
PATH_FROG_LV1	$00003622
PATH_FOLOW	$00000652
PATH_DUMMY	$00004377
PATH_THEENDE	$000047ac
PATH_THEENDD	$000047fd
PATH_E_BEE	$00000925
PATH_THEENDH	$00004791
PATH_MINICAS0	$0000101b
PATH_MINICAS1	$00001050
PATH_MINICAS2	$00001058
PATH_THEENDN	$000047e2
PATH_THEENDT	$0000477b
PATH_DSTARFOX2	$000044ee
PATH_E_EGG	$000001d0
PATH_E_RAY_0	$00001415
PATH_E_RAY_1	$0000160b
PATH_E_IKA	$000016cd
PATH_CARRIEDLOG	$000043dc
PATH_PAPERFLY	$00003a1c
PATH_E_WHALE	$00001540
PATH_EXPLODEPARTICLES	$000045bd
PATH_PAPER_1B	$00003911
PATH_SCREW	$000020bb
PATH_E_UFO	$00000b61
PATH_E_TOMBO	$00000ab4
PATH_E_SPLA_DW	$0000087f
PATH_E_FALCON	$00003555
PATH_ROBOT	$00004461
PATH_E_SPLA_UP	$00000879
PATH_E_SUP_1	$000015f7
PATH_E_SUP_2	$000015fc
PATH_E_SUP_3	$00001601
PATH_E_SUP_4	$00001606
PATH_TOTAL	$00004837
PATH_MINICASTANETLR	$000046df
PATH_TOW_0	$00003aea
PATH_TOW_1	$00003b21
PATH_EDIGIT	$0000390e
PATH_MINI_CLI	$00001929
PATH_BREAK1	$0000459e
PATH_BREAK2	$000045a2
PATH_ROBOTWITHLOG2	$000043c5
PATH_DAMY_EXP2	$000001cf
PATH_E_BIG_BIRD	$000001f4
PATH_REM_WHALE	$000015ed
PATH_E_KANI_0	$00001aae
PATH_SAKA_HOU	$00001d81
PATH_TOMHAHA	$000009c1
PATH_E_ASTE_B	$000003eb
PATH_SLOTARM	$0000415b
PATHDHA_ISTRAT	$00048000
PATH_E_FLOPEN	$00000014
PATH_E_FLOWER	$00000003
PATH_E_RABBIT	$0000354b
PATH_CHASE1_1	$0000210f
PATH_CHASE1_2	$000021c0
PATH_CHASE2_1	$0000223d
PATH_CHASE2_2	$0000237b
PATH_CHASE3_1	$0000244e
PATH_KAMOME	$00000794
PATH_CHASE3_2	$00002656
PATH_TOMSET1	$00000a63
PATH_CHASE4_1	$000027b2
PATH_TOMSET2	$00000a68
PATH_TOMSET3	$00000a6c
PATH_CHASE4_2	$0000290a
PATH_CHASE4_3	$00002997
PATH_CHASE5_1	$000029d7
PATH_CHASE5_2	$00002a87
PATH_CHASE5_3	$00002b04
PATH_CHASE6_1	$00002b3b
PATH_CHASE6_2	$00002c64
PATH_TRN_RING2	$00000058
PATH_CHASE7_1	$00002ce6
PATH_CHASE7_2	$00002e26
PATH_CHASE8_1	$00002ebc
PATH_CHASE8_2	$00002f88
PATH_CHASE8_3	$00002fdc
PATH_TRN_SCORE	$00000033
PATH_DTEST5	$000045c5
PATH_MY_BIRD	$000042ad
PATH_DSMOKE	$00003b5b
PATH_AMEBMSG2	$00001eb7
PATH_ROBOTSWITHLOG	$0000437b
PATH_CALL_FOL	$000005ff
PATH_EGU1_IFAL	$00003290
PATH_EGU1_IFRO	$00003272
PATH_EGU1_IRAB	$00003254
PATH_THEENDE2	$000047c7
PATH_AVE	$0000486d
PATH_PINITA_A	$000002f6
PATH_PINITA_B	$000002ef
PATH_E_BACK	$00001d4e
PATH_CHIBIR_1	$000002c7
PATH_CHIBIR_2	$000002c1
PATH_E_SHAWER	$00001f48
PATH_TES	$00003873
PATH_PATCOM	$0000207f
PATH_TOTUMSG	$00001ec8
PATH_E_GATE	$00000000
PATH_INSEKIKUN	$00000418
PATH_E_TANK_S	$00001296
PATH_E_HELI	$00001110
PATH_E_ASTE	$000003e6
PATH_PATRET	$0000203b
PATH_EGU6_IFAL	$000030fc
PATH_PATROL	$00001fd8
PATH_E_WALK_1	$000011fd
PATH_E_FROG	$00003550
PATH_E_KURURI	$000012a8
PATH_EGU6_IFRO	$000030de
PATH_EGU6_IRAB	$000030c0
PATH_KORORI	$00000572
PATH_ISTRAT	$0004801e
PATH_E_PILL	$00000346
PATH_E_TANK	$0000123c
PATH_PATRET_IFAL	$0000304f
PATH_PATRET_IFRO	$00003031
PATH_PATRET_IRAB	$00003013
PATH_MINIMINE1	$000010b5
PEDIGIT	$0004dd2e
PATH_MINIMINE2	$000010bf
PATH_MINIMINE3	$000010c8
PATH_MINIMINE4	$000010d1
PATH_MINIMINE5	$000010db
PATH_MINIMINE6	$000010e5
PATH_MINIMINE7	$000010ef
PATH_STAGE1	$000048a3
PATH_STAGE2	$000048d5
PATH_STAGE3	$00004907
PATH_STAGE4	$00004939
PATH_STAGE5	$0000496b
PATH_STAGE6	$0000499d
PATH_STAGE7	$000049cf
PATH_TENKI_DM	$00000154
PATH_PONPON	$00000bdf
PATH_GAMEOVER	$0000475b
PATH_TENKI_ON	$00000158
PATH_HENTAI_DAMY	$00003653
PATH_DAMY_EXP	$000001b2
PATH_DRAGONMSG	$00001df0
PATH_ROBEXPLODE	$000044c7
PATH_TOTALN	$00004852
PATH_TOMSET	$000009de
PATHHIT_ISTRAT	$0004a2eb
PATH_E_BREASTE	$00000413
PATH_AMEBMSG	$00001e99
PATH_PYONTA	$0000048d
PATH_MES_MESSAGE	$00001f1c
PATH_TRN_CK	$000000f6
PATH_SLOTHOLD1	$00003f70
PATH_SLOTHOLD3	$00004004
PATH_SLOTHOLD2	$00003fda
PATH_L_CLISLA	$000017ed
PATH_FADEINTOTAL	$00004823
PATH_DAMYSCR	$000020fd
PATH_SLOTREEL1	$00004030
PATH_SLOTREEL2	$0000405b
PATH_SLOTREEL3	$00004086
PATH_DNINTENDO	$00004621
PATH_MINICASTANET	$0000468c
PATH_HENTAI_FAL	$0000368e
PATH_SEPTER_FAL	$00003339
PATH_HENTAI_FRO	$00003649
PATH_HENTAI_RAB	$0000364e
PATH_HANDMSG	$00001e13
PATH_SEPTER_FRO	$00003334
PATH_SEPTER_RAB	$0000332f
PATH_E_KANI_L1	$00001d40
PATH_E_KANI_L2	$00001d45
PATH_SAKA_SHOT	$00001d75
PATH_KANIHAHA	$00001a0c
PATH_DINTRO1	$000044fd
PATH_BRAYMSG	$00001e79
PATH_DINTRO2	$0000456f
PATH_DSIDESLIP	$000045df
PATH_MES_ANDROSS1	$00001efd
PATH_MES_ANDROSS2	$00001ee8
PATH_E_FLYFISH	$000008b5
PATH_ASTEMSG	$00001dd2
PATROL_ISTRAT	$0008bde1
PATROL_STRAT	$0008be09
PLWING_ISTRAT	$000bafe1
PLWBRK_ISTRAT	$000bb24f
PLWING_STRAT	$000bb025
WBGLOG	$0000212a
BRIDGE_VIEWCY	$ffffffc4
BRIDGE_GAMEFLAGSON	$00000000
ARROWS	$00001acb
BRIDGE_GAMEFLAGSOFF	$00000020
BRIDGE_MAXX	$000000c8
BRIDGE_MAXY	$00000000
BRIDGE_MINX	$ffffff38
BRIDGE_MINY	$ffffff88
BRIDGE_MISSBOUNDFLAGS	$00000068
CLISLA_L	$0000cc57
CLISLA_M	$0000cc73
CLISLA_S	$0000cc8f
BRIDGE_FLYMODE	$0000001d
